faa,name,lat,lon,alt,tz,dst,tzone,state
BIV,Tulip City Airport,42.7427778,-86.1078333,698,-5,A,America/New_York,michigan
BIX,Keesler Afb,30.410425,-88.924433,33,-6,A,America/Chicago,alabama
BJC,Rocky Mountain Metropolitan Airport,39.90888888,-105.1172222,5670,-7,A,America/Denver,colorado
BJI,Bemidji Regional Airport,47.510722,-94.934722,1391,-6,A,America/Chicago,minnesota
BKC,Buckland Airport,65.981667,-161.149167,31,-9,A,America/Anchorage,alaska
BKD,Stephens Co,32.719047,-98.891,1284,-6,A,America/Chicago,texas
BKF,Buckley Afb,39.701668,-104.75166,5662,-7,A,America/Denver,colorado
BKG,Branson LLC,36.531994,-93.200556,1302,-6,A,America/Chicago,missouri
BKH,Barking Sands Pmrf,22.22833,-159.785,23,-10,A,Pacific/Honolulu,hawaii
BKL,Burke Lakefront Airport,41.5175,-81.683333,583,-5,A,America/New_York,ohio
BKW,Raleigh County Memorial Airport,37.7873,-81.1242,2504,-5,A,America/New_York,west virginia
BKX,Brookings Regional Airport,44.3048,-96.8169,1648,-6,A,America/Chicago,south dakota
BLD,Boulder City Municipal Airport,35.5651,-114.514,2201,-7,U,America/Phoenix,nevada
BLF,Mercer County Airport,37.2958,-81.2077,2857,-5,A,America/New_York,illinois
BLH,Blythe Airport,33.619167,-114.716889,399,-8,A,America/Los_Angeles,california
BLI,Bellingham Intl,48.792694,-122.537528,170,-8,A,America/Los_Angeles,washington
BLV,Scott Afb Midamerica,38.545178,-89.835183,459,-6,A,America/Chicago,illinois
BMC,Brigham City,41.552,-112.062,4229,-7,A,America/Denver,utah
BMG,Monroe County Airport,39.1460208,-86.6166805,846,-5,A,America/New_York,ohio
BMI,Central Illinois Rgnl,40.477111,-88.915917,871,-6,A,America/Chicago,illinois
BMT,Beaumont Municipal,30.702044,-94.2150967,32,-6,A,America/Chicago,texas
BMX,Big Mountain Afs,59.361247,-155.258822,663,-9,A,America/Anchorage,alaska
BNA,Nashville Intl,36.124472,-86.678194,599,-6,A,America/Chicago,tennessee
BOI,Boise Air Terminal,43.564361,-116.222861,2871,-7,A,America/Denver,idaho
BOS,General Edward Lawrence Logan Intl,42.364347,-71.005181,19,-5,A,America/New_York,massachusetts
BOW,Bartow Municipal Airport,27.9434,-81.7834,125,-5,U,America/New_York,florida
BPT,Southeast Texas Rgnl,29.950833,-94.020694,15,-6,A,America/Chicago,texas
BQK,Brunswick Golden Isles Airport,31.2588,-81.4665,26,-5,A,America/New_York,arizona
BRD,Brainerd Lakes Rgnl,46.398308,-94.138078,1226,-6,U,America/Chicago,minnesota
BRL,Southeast Iowa Regional Airport,40.7832,-91.1255,698,-6,A,America/Chicago,iowa
BRO,Brownsville South Padre Island Intl,25.906833,-97.425861,22,-6,A,America/Chicago,texas
BRW,Wiley Post Will Rogers Mem,71.285446,-156.766003,44,-9,A,America/Anchorage,alaska
BSF,Bradshaw Aaf,19.760056,-155.553717,6190,-10,A,Pacific/Honolulu,hawaii
BTI,Barter Island Lrrs,70.133989,-143.581867,2,-9,A,America/Anchorage,alaska
BTM,Bert Mooney Airport,45.954806,-112.497472,5550,-7,A,America/Denver,montana
BTR,Baton Rouge Metro Ryan Fld,30.533167,-91.149639,70,-6,A,America/Chicago,louisiana
BTT,Bettles,66.913944,-151.529056,644,-9,A,America/Anchorage,alaska
BTV,Burlington Intl,44.471861,-73.153278,335,-5,A,America/New_York,vermont
BUF,Buffalo Niagara Intl,42.940525,-78.732167,724,-5,A,America/New_York,new york
BUR,Bob Hope,34.200667,-118.358667,778,-8,A,America/Los_Angeles,california
BUU,Municipal Airport,42.6907171,-88.3046825,780,-6,A,America/Chicago,california
BUY,Burlington-Alamance Regional Airport,36.485433,-79.4748892,617,-5,A,America/New_York,north carolina
BVY,Beverly Municipal Airport,42.584141,-70.9161444,107,-5,A,America/New_York,massachusetts
BWD,KBWD,31.7936111,-98.9565,1387,-6,A,America/Chicago,texas
BWG,Bowling Green-Warren County Regional Airport,36.9645278,-86.4196667,547,-6,A,America/Chicago,kentucky
BWI,Baltimore Washington Intl,39.175361,-76.668333,146,-5,A,America/New_York,maryland
BXK,Buckeye Municipal Airport,33.420417,-112.68618,1033,-7,U,America/Phoenix,arizona
BXS,Borrego Valley Airport,33.2590278,-116.3209722,520,-8,A,America/Los_Angeles,california
BYH,Arkansas Intl,35.964347,-89.943956,254,-6,A,America/Chicago,arkansas
BYS,Bicycle Lake Aaf,35.280531,-116.630031,2350,-8,A,America/Los_Angeles,california
BYW,Blakely Island Airport,48.56025,-122.80243,0,-8,A,America/Los_Angeles,washington
BZN,Gallatin Field,45.777643,-111.160151,4500,-7,A,America/Denver,montana
C02,Grand Geneva Resort Airport,42.6149167,-88.3895833,835,-6,U,America/Chicago,wisconsin
C16,Frasca Field,40.144979,-88.200197,735,-6,A,America/Chicago,illinois
C47,Portage Municipal Airport,43.5603136,-89.4828607,825,-6,U,America/Chicago,wisconsin
C65,Plymouth Municipal Airport,41.3651307,-86.3002574,800,-5,A,America/New_York,michigan
C89,Sylvania Airport,42.70325,-87.9589722,785,-6,A,America/Chicago,wisconsin
C91,Dowagiac Municipal Airport,41.9929342,-86.1280125,748,-5,U,America/New_York,michigan
CAE,Columbia Metropolitan,33.938833,-81.119528,236,-5,A,America/New_York,south carolina
CAK,Akron Canton Regional Airport,40.9160833,-81.4421944,1228,-5,A,America/New_York,ohio
CAR,Caribou Muni,46.8715,-68.017917,626,-5,A,America/New_York,maine
CBE,Greater Cumberland Rgnl.,39.615278,-78.760556,775,-5,A,America/New_York,west virginia
CBM,Columbus Afb,33.643833,-88.443833,219,-6,A,America/Chicago,mississippi
CCO,Coweta County Airport,33.3115656,-84.7697554,970,-5,A,America/New_York,georgia
CCR,Buchanan Field Airport,37.9896667,-122.0568889,26,-8,A,America/Los_Angeles,california
CDB,Cold Bay,55.206061,-162.725436,96,-9,A,America/Anchorage,alaska
CDC,Cedar City Rgnl,37.700967,-113.098847,5622,-7,A,America/Denver,utah
CDI,Cambridge Municipal Airport,39.9750278,-81.5775833,799,-5,U,America/New_York,minnesota
CDK,CedarKey,29.1342222,-83.0504722,11,-5,A,America/New_York,florida
CDN,Woodward Field,34.2835833,-80.5648611,302,-5,A,America/New_York,south carolina
CDR,Chadron Municipal Airport,42.8375,-103.095556,3297,-7,A,America/Denver,nebraska
CDS,Childress Muni,34.433781,-100.287992,1954,-6,A,America/Chicago,texas
CDV,Merle K Mudhole Smith,60.491778,-145.477556,48,-9,A,America/Anchorage,alaska
CDW,Caldwell Essex County Airport,40.8752222,-74.2813611,172,-5,A,America/New_York,new jersey
CEC,Del Norte County Airport,41.7802,-124.237,57,-8,A,America/Los_Angeles,california
CEF,Westover Arb Metropolitan,42.194014,-72.534783,241,-5,A,America/New_York,massachusetts
CEM,Central Airport,65.573889,-144.780833,937,-9,A,America/Anchorage,alaska
CEU,Clemson,34.6722222,-82.8858889,891,-5,A,America/New_York,south carolina
CEW,Bob Sikes,30.778833,-86.522111,213,-6,A,America/Chicago,florida
CEZ,Cortez Muni,37.303,-108.628056,5918,-7,A,America/Denver,colorado
CFD,Coulter Fld,30.715694,-96.331361,367,-6,A,America/Chicago,texas
CGA,Craig Seaplane Base,55.478889,-133.147778,0,-9,A,America/Anchorage,alaska
CGC,Crystal River,28.8676111,-82.5741111,9,-5,A,America/New_York,florida
CGF,Cuyahoga County,41.565124,-81.4863555,879,-5,A,America/New_York,ohio
CGI,Cape Girardeau Regional Airport,37.2253,-89.5708,342,-6,A,America/Chicago,missouri
CGX,Meigs Field,41.860278,-87.609722,585,-6,A,America/Chicago,illinois
CGZ,Casa Grande Municipal Airport,32.954889,-111.766832,1464,-7,U,America/Phoenix,arizona
CHA,Lovell Fld,35.35278,-85.203808,683,-5,A,America/New_York,tennessee
CHI,All Airports,41.883611,-87.631667,596,-6,A,America/Chicago,indiana
CHO,Charlottesville-Albemarle,38.138639,-78.452861,639,-5,A,America/New_York,virginia
CHS,Charleston Afb Intl,32.898647,-80.040528,45,-5,A,America/New_York,south carolina
CHU,Chuathbaluk Airport,61.579167,-159.215556,243,-9,A,America/Anchorage,minnesota
CIC,Chico Muni,39.795383,-121.858422,238,-8,A,America/Los_Angeles,california
CID,Cedar Rapids,41.884694,-91.710806,869,-6,A,America/Chicago,iowa
CIK,Chalkyitsik Airport,66.645,-143.74,544,-9,A,America/Anchorage,alaska
CIL,Council Airport,64.897778,-163.703333,85,-9,A,America/Anchorage,alaska
CIU,Chippewa County International Airport,46.2508,-84.4724,800,-5,A,America/New_York,michigan
CKB,Harrison Marion Regional Airport,39.2966,-80.2281,1217,-5,A,America/New_York,west virginia
CKD,Crooked Creek Airport,61.867778,-158.135,178,-9,A,America/Anchorage,north carolina
CKF,Crisp County Cordele Airport,31.9888333,-83.7739167,310,-5,A,America/New_York,georgia
CKV,Clarksville-Montgomery County Regional Airport,36.621944,-87.415,550,-6,A,America/Chicago,kentucky
CLC,Clear Lake Metroport,29.5569,-95.137497,35,-6,A,America/Chicago,texas
CLD,McClellan-Palomar Airport,33.742,-117.1648,328,-8,A,America/Los_Angeles,california
CLE,Cleveland Hopkins Intl,41.411689,-81.849794,791,-5,A,America/New_York,ohio
CLL,Easterwood Fld,30.588583,-96.363833,321,-6,A,America/Chicago,texas
CLM,William R Fairchild International Airport,48.1202,-123.5,291,-8,A,America/Los_Angeles,washington
CLS,Chehalis-Centralia,46.4062,-122.5897,177,-8,A,America/Los_Angeles,washington
CLT,Charlotte Douglas Intl,35.214,-80.943139,748,-5,A,America/New_York,north carolina
CLW,Clearwater Air Park,27.9764722,-82.7586667,70,-5,A,America/New_York,florida
CMH,Port Columbus Intl,39.997972,-82.891889,815,-5,A,America/New_York,ohio
CMI,Champaign,40.3925,-88.278056,754,-6,A,America/Chicago,illinois
CMX,Houghton County Memorial Airport,47.1684,-88.4891,1095,-5,A,America/New_York,michigan
CNM,Cavern City Air Terminal,32.337472,-104.263278,3295,-7,A,America/Denver,new mexico
CNW,Tstc Waco,31.637831,-97.074139,470,-6,A,America/Chicago,texas
CNY,Canyonlands Field,38.755,-109.754722,4555,-7,A,America/Denver,utah
COD,Yellowstone Rgnl,44.520194,-109.023806,5102,-7,A,America/Denver,wyoming
COE,Pappy Boyington,47.7743056,-116.8195833,2320,-8,A,America/Los_Angeles,idaho
